Time,Theta,PeakType,AbsAmp
24.979177,0.049730870654258304,min,0.05905541435608565
24.980177,0.049730870654258304,max,0.05905541435608565
24.983177,0.04662270105584421,min,0.05594724475767155
24.984177,0.04662270105584421,max,0.05594724475767155
24.985177,0.04506860752999089,min,0.05439315123181823
24.986177,0.04506860752999089,max,0.05439315123181823
24.987177,0.04351451400413758,min,0.05283905770596493
24.988177,0.04351451400413758,max,0.05283905770596493
24.990177,0.040406344405723486,min,0.04973088810755083
24.991177,0.040406344405723486,max,0.04973088810755083
24.993178,0.038852250879870175,min,0.04817679458169752
24.994178,0.038852250879870175,max,0.04817679458169752
24.996178,0.03574406382816355,min,0.045068607529990895
24.997178,0.03574406382816355,max,0.045068607529990895
24.998178,0.03418997030231024,min,0.04351451400413758
24.999178,0.03418997030231024,max,0.04351451400413758
25.000178,0.03263589422974945,min,0.04196043793157679
25.001178,0.03263589422974945,max,0.04196043793157679
25.002178,0.03108180070389614,min,0.040406344405723486
25.003178,0.03108180070389614,max,0.040406344405723486
25.004178,0.029527707178042827,min,0.038852250879870175
25.005178,0.029527707178042827,max,0.038852250879870175
25.006178,0.027973613652189516,min,0.03729815735401686
25.007178,0.027973613652189516,max,0.03729815735401686
25.008178,0.026419520126336207,min,0.03574406382816355
25.009178,0.026419520126336207,max,0.03574406382816355
25.011178,0.023311350527922103,min,0.03263589422974945
25.012178,0.023311350527922103,max,0.03263589422974945
25.015178,0.020203163476215483,min,0.02952770717804283
25.016178,0.020203163476215483,max,0.02952770717804283
25.017178,0.01864906995036217,min,0.02797361365218952
25.018178,0.01864906995036217,max,0.02797361365218952
25.019178,0.01709499387780138,min,0.026419537579628727
25.020178,0.01709499387780138,max,0.026419537579628727
25.023178,0.013986806826094758,min,0.023311350527922103
25.024178,0.013986806826094758,max,0.023311350527922103
25.025178,0.012432713300241448,min,0.02175725700206879
25.026178,0.012432713300241448,max,0.02175725700206879
25.027178,0.010878637227680656,min,0.020203180929508
25.028178,0.010878637227680656,max,0.020203180929508
25.031178,0.007770450175974035,min,0.01709499387780138
25.032178,0.007770450175974035,max,0.01709499387780138
25.033178,0.006216356650120724,min,0.01554090035194807
25.034179,0.006216356650120724,max,0.01554090035194807
25.035179,0.004662263124267412,min,0.013986806826094758
25.036179,0.004662263124267412,max,0.013986806826094758
25.039179,0.0015540935258533109,min,0.010878637227680656
25.040179,0.0015540935258533109,max,0.010878637227680656
25.041179,0.0,min,0.009324543701827346
25.042179,0.0,max,0.009324543701827346
25.043179,-0.0015540935258533109,min,0.007770450175974035
25.044179,-0.0015540935258533109,max,0.007770450175974035
25.046179,-0.0031081870517066217,min,0.006216356650120724
25.047179,-0.0031081870517066217,max,0.006216356650120724
25.048179,-0.004662263124267412,min,0.0046622805775599335
25.049179,-0.004662263124267412,max,0.0046622805775599335
25.058179,-0.012432713300241448,min,0.003108169598414102
25.059179,-0.012432713300241448,max,0.003108169598414102
25.062179,-0.01554090035194807,min,0.006216356650120724
25.063179,-0.01554090035194807,max,0.006216356650120724
25.065179,-0.01709499387780138,min,0.007770450175974034
25.066179,-0.01709499387780138,max,0.007770450175974034
25.068179,-0.020203163476215483,min,0.010878619774388138
25.069179,-0.020203163476215483,max,0.010878619774388138
25.070179,-0.02175725700206879,min,0.012432713300241446
25.071179,-0.02175725700206879,max,0.012432713300241446
25.073179,-0.023311350527922103,min,0.013986806826094758
25.074179,-0.023311350527922103,max,0.013986806826094758
25.076179,-0.024865444053775415,min,0.01554090035194807
25.077179,-0.024865444053775415,max,0.01554090035194807
25.078179,-0.026419520126336207,min,0.017094976424508863
25.079179,-0.026419520126336207,max,0.017094976424508863
25.081179,-0.027973613652189516,min,0.018649069950362168
25.082179,-0.027973613652189516,max,0.018649069950362168
25.083179,-0.029527707178042827,min,0.02020316347621548
25.084179,-0.029527707178042827,max,0.02020316347621548
25.085179,-0.03108180070389614,min,0.02175725700206879
25.086179,-0.03108180070389614,max,0.02175725700206879
25.08718,-0.03263589422974945,min,0.023311350527922103
25.08818,-0.03263589422974945,max,0.023311350527922103
25.08918,-0.03263589422974945,min,0.023311350527922103
25.09018,-0.03263589422974945,max,0.023311350527922103
25.09118,-0.03418997030231024,min,0.024865426600482896
25.09218,-0.03418997030231024,max,0.024865426600482896
25.09318,-0.03574406382816355,min,0.026419520126336207
25.09418,-0.03574406382816355,max,0.026419520126336207
25.09518,-0.037298157354016856,min,0.027973613652189512
25.09618,-0.037298157354016856,max,0.027973613652189512
25.09821,-0.038852250879870175,min,0.02952770717804283
25.09921,-0.038852250879870175,max,0.02952770717804283
25.10021,-0.040406344405723486,min,0.031081800703896142
25.10121,-0.040406344405723486,max,0.031081800703896142
25.10221,-0.040406344405723486,min,0.031081800703896142
25.10321,-0.040406344405723486,max,0.031081800703896142
25.10521,-0.04351451400413758,min,0.03418997030231024
25.10621,-0.04351451400413758,max,0.03418997030231024
25.108211,-0.04506860752999089,min,0.035744063828163544
25.109211,-0.04506860752999089,max,0.035744063828163544
25.110211,-0.04506860752999089,min,0.035744063828163544
25.111211,-0.04506860752999089,max,0.035744063828163544
25.113211,-0.04662270105584421,min,0.03729815735401686
25.114211,-0.04662270105584421,max,0.03729815735401686
25.115211,-0.04662270105584421,min,0.03729815735401686
25.116211,-0.04662270105584421,max,0.03729815735401686
25.117211,-0.048176777128405,min,0.038852233426577655
25.118211,-0.048176777128405,max,0.038852233426577655
25.119211,-0.049730870654258304,min,0.04040632695243096
25.120211,-0.049730870654258304,max,0.04040632695243096
25.121211,-0.049730870654258304,min,0.04040632695243096
25.122211,-0.049730870654258304,max,0.04040632695243096
25.123211,-0.05128496418011162,min,0.04196042047828428
25.124211,-0.05128496418011162,max,0.04196042047828428
25.125211,-0.05128496418011162,min,0.04196042047828428
25.126211,-0.05128496418011162,max,0.04196042047828428
25.127211,-0.05283905770596493,min,0.04351451400413758
25.128211,-0.05283905770596493,max,0.04351451400413758
25.130211,-0.05439315123181824,min,0.045068607529990895
25.131211,-0.05439315123181824,max,0.045068607529990895
25.132211,-0.05439315123181824,min,0.045068607529990895
25.133211,-0.05439315123181824,max,0.045068607529990895
25.134211,-0.05594722730437903,min,0.04662268360255169
25.135211,-0.05594722730437903,max,0.04662268360255169
25.136211,-0.05594722730437903,min,0.04662268360255169
25.137211,-0.05594722730437903,max,0.04662268360255169
25.138211,-0.05594722730437903,min,0.04662268360255169
25.139211,-0.05594722730437903,max,0.04662268360255169
25.140211,-0.057501320830232336,min,0.04817677712840499
25.141211,-0.057501320830232336,max,0.04817677712840499
25.142211,-0.057501320830232336,min,0.04817677712840499
25.143211,-0.057501320830232336,max,0.04817677712840499
