time,theta,phi,theta_dot,phi_dot,tau,theta_plus_phi
4.39,45.51225219400464,1.0525231795056065,4.190114177071359,4.895259497724663,0.0,46.564775373510244
4.391,45.51644166488688,1.0573838066362413,4.1888278340774265,4.825945547218313,0.0,46.573825471523115
4.392,45.520629850163395,1.0621749729418535,4.187542962882903,4.7563386236223995,0.0,46.58280482310525
4.393,45.524816751297735,1.0668963877801165,4.186259546968135,4.686443391370913,0.0,46.591713139077854
4.394,45.5290023697369,1.0715477651818084,4.1849775697602345,4.616264532186191,0.0,46.600550134918706
4.3950000000000005,45.53318670691129,1.0761288238679432,4.183697014634165,4.545806744766038,0.0,46.60931553077923
4.396,45.53736976423464,1.08063928726659,4.182417864913843,4.4750747444698415,0.0,46.61800905150123
4.397,45.541551543104006,1.0850788835293765,4.181140103873227,4.404073263003705,0.0,46.62663042663338
4.398,45.54573204489969,1.0894473455476787,4.1798637147374285,4.33280704810462,0.0,46.63517939044736
4.399,45.54991127098518,1.093744410968493,4.178588680683805,4.261280863223691,0.0,46.64365568195367
4.4,45.55408922270713,1.0979698222099914,4.177314984843072,4.189499487208446,0.0,46.65205904491712
4.401,45.558265901395295,1.1021233264767591,4.176042610300412,4.117467713984243,0.0,46.66038922787205
4.402,45.56244130836251,1.1062046757747126,4.174771540096582,4.0451903522348,0.0,46.66864598413722
4.4030000000000005,45.566615444904606,1.1102136269256977,4.173501757229032,3.972672225081869,0.0,46.676829071830305
4.404,45.5707883123004,1.114149941581767,4.172233244653017,3.8999181697640695,0.0,46.684938253882166
4.405,45.574959911811646,1.1180133862391366,4.170965985282718,3.826933037314914,0.0,46.69297329805078
4.406,45.57913024468299,1.1218037322518186,4.1696999619923645,3.753721692240037,0.0,46.70093397693481
4.407,45.58329931214194,1.125520755844932,4.168435157617353,3.6802890121936502,0.0,46.70882006798687
4.408,45.5874671153988,1.1291642381276898,4.167171554955377,3.606639887654252,0.0,46.716631353526495
4.409,45.591633655646675,1.1327339651060595,4.165909136767555,3.5327792215996054,0.0,46.72436762075274
4.41,45.5957989340614,1.1362297276951008,4.164647885779553,3.4587119291810113,0.0,46.7320286617565
4.4110000000000005,45.59996295180153,1.1396513217309752,4.163387784682726,3.3844429373968916,0.0,46.7396142735325
4.412,45.60412571000828,1.1429985479826301,4.162128816135244,3.3099771847657142,0.0,46.74712425799091
4.413,45.608287209805525,1.1462712121631549,4.160870962763228,3.2353196209982724,0.0,46.75455842196868
4.414,45.61244745229973,1.1494691249408089,4.159614207161892,3.160475206669344,0.0,46.76191657724054
4.415,45.616606438579964,1.1525921019497216,4.158358531896672,3.0854489128887517,0.0,46.769198540529686
4.416,45.62076416971782,1.1556399638002621,4.157103919504378,3.0102457209718496,0.0,46.776404133518085
4.417,45.624920646767436,1.1586125360890804,4.155850352494325,2.9348706221094494,0.0,46.783533182856516
4.418,45.62907587076543,1.1615096494088173,4.154597813349483,2.859328617037216,0.0,46.790585520174254
4.4190000000000005,45.63322984273091,1.1643311393574836,4.153346284527615,2.7836247157045526,0.0,46.7975609820884
4.42,45.63738256366541,1.167076846547508,4.152095748462428,2.707763936942994,0.0,46.80445941021292
4.421,45.6415340345529,1.1697466166144543,4.150846187564719,2.631751308134134,0.0,46.81128065116735
4.422,45.64568425635973,1.1723403002254034,4.149597584223519,2.5555918648771057,0.0,46.81802455658513
4.423,45.64983323003465,1.174857753087006,4.148349920807247,2.479290650655637,0.0,46.824690983121656
4.424,45.65398095650877,1.1772988359531997,4.147103179664854,2.4028527165047096,0.0,46.83127979246197
4.425,45.658127436695516,1.179663414632594,4.1458573431269805,2.3262831206768304,0.0,46.83779085132811
4.426,45.66227267149066,1.1819513599955198,4.144612393507101,2.249586928307951,0.0,46.844224031486185
4.4270000000000005,45.66641666177227,1.1841625479807472,4.143368313102682,2.172769211083048,0.0,46.850579209753015
4.428,45.6705594084007,1.1862968596018657,4.142125084196333,2.095835046901393,0.0,46.856856268002566
4.429,45.67470091221858,1.188354180953332,4.140882689056957,2.018789519541526,0.0,46.863055093171916
4.43,45.67884117405082,1.190334403216181,4.139641109940909,1.9416377183259639,0.0,46.869175577267
4.431,45.68298019470455,1.1922374226634023,4.138400329093149,1.864384737785658,0.0,46.87521761736795
4.432,45.68711797496917,1.194063140664981,4.1371603287483945,1.787035677324228,0.0,46.88118111563415
4.433,45.691254515616286,1.1958114636926025,4.135921091132278,1.709595640881992,0.0,46.887065979308886
4.434,45.69538981739974,1.1974823033240198,4.134682598462503,1.632069736599814,0.0,46.892872120723766
4.4350000000000005,45.6995238810556,1.199075576247088,4.133444832949996,1.554463076482795,0.0,46.89859945730269
4.436,45.7036567073021,1.2005912042634583,4.1322077768000645,1.4767807760638232,0.0,46.90424791156556
4.437,45.70778829683972,1.202029114291939,4.130971412213552,1.3990279540670125,0.0,46.90981741113166
4.438,45.711918650351116,1.203389238371518,4.129735721387993,1.3212097320710463,0.0,46.91530788872264
4.439,45.71604776850115,1.2046715136640482,4.128500686518768,1.2433312341724507,0.0,46.920719282165194
4.44,45.72017565193687,1.2058758824565985,4.127266289800258,1.1653975866488193,0.0,46.926051534393466
4.441,45.72430230128753,1.2070022921634649,4.126032513427001,1.0874139176220114,0.0,46.931304593450996
4.442,45.72842771716457,1.2080506953278474,4.124799339594843,1.0093853567213453,0.0,46.93647841249242
4.4430000000000005,45.73255190016163,1.2090210496231886,4.123566750502095,0.9313170347468094,0.0,46.94157294978482
4.444,45.736674850854556,1.2099133178541759,4.122334728350684,0.8532140833323125,0.0,46.94658816870873
4.445,45.74079656980138,1.2107274679574078,4.121103255347305,0.7750816346089968,0.0,46.95152403775879
4.446,45.74491705754237,1.2114634730017217,4.119872313704574,0.6969248208686333,0.0,46.95638053054409
4.447,45.749036314599984,1.2121213111881874,4.118641885642181,0.6187487742271235,0.0,46.96115762578817
4.448,45.75315434147892,1.2127009658497623,4.117411953388034,0.5405586262881295,0.0,46.96585530732868
4.449,45.757271138666106,1.213202425450611,4.1161824991794145,0.4623595078068527,0.0,46.970473564116716
4.45,45.76138670663071,1.2136256835850896,4.114953505264123,0.3841565483539855,0.0,46.9750123902158
4.4510000000000005,45.76550104582415,1.213970738976392,4.113724953901626,0.30595487597985566,0.0,46.979471784800545
4.452,45.76961415668012,1.2142375954748632,4.1124968273642,0.22775961687878704,0.0,46.98385175215498
4.453,45.77372603961458,1.2144262620559738,4.111269107938083,0.14957589505369773,0.0,46.98815230167055
4.454,45.7778366950258,1.2145367528179627,4.110041777924611,0.07140883198095764,0.0,46.99237344784376
4.455,45.78194612329434,1.2145690869791421,4.10881481964136,-0.006736453724472263,0.0,46.99651521027348
4.456,45.7860543247831,1.2145232888748692,4.107588215423293,-0.08485484664359776,0.0,47.000577613657974
4.457,45.79016129983732,1.2143993879541826,4.106361947623893,-0.16294123488762388,0.0,47.0045606877915
4.458,45.79426704878461,1.2141974187761058,4.105135998616302,-0.2409905104318406,0.0,47.008464467560714
4.4590000000000005,45.79837157193495,1.2139174210056158,4.103910350794459,-0.31899756944913993,0.0,47.01228899294057
4.46,45.802474869580735,1.2135594394092792,4.102684986574231,-0.3969573126431425,0.0,47.016034308990015
4.461,45.80657694199678,1.2131235238505547,4.101459888394547,-0.4748646455809121,0.0,47.019700465847336
4.462,45.810677789440355,1.212609729284764,4.100235038718526,-0.5527144790252366,0.0,47.02328751872512
4.463,45.81477741215121,1.21201811575373,4.09901042003461,-0.6305017292664532,0.0,47.02679552790494
4.464,45.81887581035159,1.211348748380083,4.097786014857685,-0.7082213184537969,0.0,47.030224558731675
4.465,45.82297298424628,1.2106016973612372,4.096561805730209,-0.7858681749262504,0.0,47.03357468160751
4.466,45.82706893402259,1.2097770379630348,4.0953377752233315,-0.8634372335428739,0.0,47.03684597198563
4.4670000000000005,45.83116365985046,1.208874850513062,4.0941139059380145,-0.9409234360125937,0.0,47.04003851036352
4.468,45.83525716188242,1.2078952203936333,4.092890180506149,-1.0183217312234265,0.0,47.04315238227605
4.469,45.83934944025364,1.2068382380344493,4.091666581591672,-1.095627075571122,0.0,47.04618767828809
4.47,45.843440495082,1.2057039989049239,4.090443091891674,-1.1728344332871963,0.0,47.04914449398692
4.471,45.84753032646807,1.2044926035061851,4.089219694137518,-1.2499387767663417,0.0,47.05202292997425
4.472,45.85161893449518,1.203204157362749,4.087996371095936,-1.326935086893186,0.0,47.054823091857926
4.473,45.855706319229434,1.2018387710138654,4.086773105570141,-1.4038183533683828,0.0,47.0575450902433
4.474,45.85979248071977,1.2003965600045405,4.085549880400928,-1.4805835750340126,0.0,47.06018904072431
4.4750000000000005,45.86387741899798,1.198877644876232,4.084326678467768,-1.5572257601982702,0.0,47.062755063874214
4.476,45.867961134078755,1.1972821511572214,4.0831034826899115,-1.6337399269594206,0.0,47.06524328523598
4.477,45.872043625959726,1.1956102093526624,4.0818802760274755,-1.710121103529001,0.0,47.06765383531239
4.478,45.87612489462151,1.193861954934306,4.080657041482537,-1.7863643285542479,0.0,47.06998684955582
4.479,45.880204940027745,1.1920375283299038,4.0794337621002175,-1.8624646514397296,0.0,47.07224246835765
4.48,45.88428376212513,1.190137074912291,4.07821042096977,-1.9384171326681607,0.0,47.07442083703742
4.481,45.888361360843476,1.1881607449881473,4.076987001225655,-2.014216844120382,0.0,47.07652210583162
4.482,45.892437736095765,1.1861086937864396,4.075763486048622,-2.0898588693944786,0.0,47.0785464298822
4.483,45.89651288777817,1.1839810814465452,4.074539858666782,-2.165338304124026,0.0,47.08049396922472
4.484,45.900586815770126,1.1817780730060583,4.073316102356674,-2.2406502562954316,0.0,47.08236488877618
4.485,45.904659519934356,1.1794998383882782,4.07209220044434,-2.315789846564357,0.0,47.08415935832264
4.486,45.908731000116944,1.177146552389382,4.070868136306377,-2.3907522085712056,0.0,47.085877552506325
4.487,45.91280125614737,1.1747183946652837,4.069643893371007,-2.465532489255645,0.0,47.08751965081265
4.488,45.91687028783858,1.1722155497181765,4.068419455119126,-2.5401258491701495,0.0,47.08908583755675
4.489,45.920938094987015,1.169638206882765,4.067194805085359,-2.614527462792546,0.0,47.09057630186978
4.49,45.925004677372684,1.1669865603121836,4.065969926859107,-2.688732518837532,0.0,47.091991237684866
4.491,45.929070034759214,1.1642608089636035,4.06474480408559,-2.7627362205671604,0.0,47.09333084372282
4.492,45.93313416689391,1.1614611565835318,4.06351942046689,-2.8365337861002575,0.0,47.09459532347744
4.493,45.93719707350779,1.1585878116927995,4.062293759762983,-2.9101204487207637,0.0,47.09578488520059
4.494,45.941258754315676,1.155640987571243,4.061067805792773,-2.983491457184971,0.0,47.09689974188692
4.495,45.94531920901624,1.152620902242079,4.059841542435123,-3.056642076027642,0.0,47.09794011125832
4.496,45.94937843729206,1.149527778455973,4.058614953629871,-3.1295675858669885,0.0,47.09890621574804
4.497,45.95343643880968,1.1463618436748038,4.057388023378852,-3.2022632837084894,0.0,47.099798282484485
4.498,45.957493213219685,1.1431233300551247,4.056160735746918,-3.274724483247531,0.0,47.10061654327481
4.499,45.96154876015675,1.1398124744313234,4.054933074862939,-3.3469465151708455,0.0,47.101361234588076
4.5,45.96560307923972,1.1364295182984798,4.053705024920816,-3.418924727456737,0.0,47.1020325975382
4.501,45.96965617007166,1.1329747077949255,4.0524765701804775,-3.490654485674064,0.0,47.10263087786658
4.502,45.97370803223993,1.1294482936845032,4.051247694968876,-3.5621311732799694,0.0,47.10315632592443
4.503,45.97775866531624,1.1258505313385312,4.0500183836809835,-3.6333501919163353,0.0,47.103609196654766
4.5040000000000004,45.98180806885675,1.1221816807174705,4.048788620780773,-3.70430696170494,0.0,47.10398974957422
4.505,45.98585624240211,1.1184420063522977,4.047558390802203,-3.774996921541305,0.0,47.104298248754404
4.506,45.98990318547753,1.1146317773255852,4.0463276783501945,-3.8454155293872074,0.0,47.104534962803115
4.507,45.99394889759287,1.1107512672522888,4.045096468101605,-3.915558262561844,0.0,47.10470016484516
4.508,45.99799337824271,1.106800754260246,4.043864744806189,-3.9854206180316227,0.0,47.10479413250296
4.509,46.00203662690641,1.1027805209703843,4.042632493287568,-4.054998112698568,0.0,47.104817147876794
4.51,46.00607864304818,1.0986908544766407,4.041399698444181,-4.124286283687319,0.0,47.10476949752482
4.511,46.01011942611718,1.0945320463255983,4.0401663452502365,-4.193280688630702,0.0,47.104651472442775
4.5120000000000005,46.01415897554757,1.0903043924958342,4.038932418756663,-4.261976905953866,0.0,47.104463368043405
4.513,46.01819729075863,1.0860081933769865,4.037697904092046,-4.330370535156946,0.0,47.10420548413561
4.514,46.02223437115477,1.0816437537485386,4.036462786463563,-4.398457197096254,0.0,47.103878124903304
4.515,46.02627021612566,1.0772113827583227,4.035227051157916,-4.466232534263975,0.0,47.10348159888398
4.516,46.03030482504631,1.072711393900745,4.033990683542254,-4.533692211066345,0.0,47.103016218947054
4.517,46.03433819727712,1.0681441049947331,4.032753669065092,-4.600831914100292,0.0,47.10248230227185
4.518,46.03837033216399,1.0635098381614077,4.031515993257225,-4.667647352428536,0.0,47.1018801703254
4.519,46.0424012290384,1.0588089198014794,4.030277641732633,-4.734134257853113,0.0,47.101210148839876
4.5200000000000005,46.046430887217454,1.0540416805723745,4.029038600189388,-4.80028838518732,0.0,47.10047256778983
4.521,46.05045930600403,1.0492084553650871,4.027798854410542,-4.866105512526054,0.0,47.09966776136912
4.522,46.05448648468682,1.0443095832807638,4.026558390265025,-4.9315814415145285,0.0,47.098796067967584
4.523,46.058512422540424,1.0393454076070194,4.025317193708523,-4.996711997615364,0.0,47.09785783014745
4.524,46.062537118825446,1.0343162757939866,4.024075250784359,-5.061493030374011,0.0,47.09685339461943
4.525,46.06656057278858,1.0292225394301013,4.022832547624365,-5.125920413682516,0.0,47.09578311221868
4.526,46.070582783662694,1.0240645542176252,4.021589070449744,-5.189990046041587,0.0,47.09464733788032
4.527,46.07460375066692,1.0188426799479058,4.020344805571938,-5.253697850820969,0.0,47.093446430614826
4.5280000000000005,46.078623473006736,1.0135572804763788,4.019099739393472,-5.317039776518087,0.0,47.09218075348311
4.529,46.082641949874095,1.0082087236973116,4.0178538584088095,-5.38001179701496,0.0,47.09085067357141
4.53,46.08665918044748,1.0027973815182907,4.016607149205186,-5.442609911833363,0.0,47.08945656196577
4.531,46.090675163891994,0.9973236298344554,4.01535959846345,-5.50483014638821,0.0,47.08799879372645
4.532,46.09468989935948,0.9917878485024786,4.014111192958887,-5.566668552239167,0.0,47.086477747861956
4.533,46.09870338598861,0.9861904213142969,4.012861919562043,-5.628121207340451,0.0,47.084893807302905
4.534,46.10271562290496,0.9805317359705922,4.011611765239541,-5.689184216288819,0.0,47.08324735887555
4.535,46.106726609221134,0.9748121840540255,4.010360717054887,-5.749853710569725,0.0,47.08153879327516
4.5360000000000005,46.11073634403684,0.9690321610022262,4.009108762169271,-5.810125848801627,0.0,47.07976850503906
4.537,46.114744826438994,0.9631920660805378,4.007855887842366,-5.869996816978433,0.0,47.07793689251953
4.538,46.11875205550183,0.9572923023545216,4.006602081433115,-5.929462828710062,0.0,47.076044357856354
4.539,46.12275803028698,0.9513332766622216,4.005347330400513,-5.988520125461127,0.0,47.0740913069492
4.54,46.12676274984361,0.945315399586191,4.0040916223043785,-6.047164976787689,0.0,47.0720781494298
4.541,46.13076621320845,0.9392390854252837,4.0028349448061284,-6.105393680572107,0.0,47.07000529863374
4.542,46.134768419406,0.9331047521662102,4.0015772856695335,-6.163202563255934,0.0,47.06787317157221
4.543,46.13876936744853,0.9269128214548643,4.000318632761475,-6.220587980070874,0.0,47.065682188903395
4.5440000000000005,46.142769056336256,0.9206637185674171,3.9990589740526925,-6.27754631526776,0.0,47.063432774903674
4.545,46.146767485057396,0.9143578723811847,3.997798297618521,-6.33407398234356,0.0,47.06112535743858
4.546,46.15076465258831,0.9079957153452693,3.996536591639627,-6.390167424266382,0.0,47.05876036793358
4.547,46.15476055789358,0.9015776834509768,3.9952738444027336,-6.44582311369847,0.0,47.056338241344555
4.548,46.158755199926155,0.895104216202011,3.994010044301338,-6.501037553217179,0.0,47.05385941612817
4.549,46.1627485776274,0.8885757565844499,3.9927451798364246,-6.55580727553391,0.0,47.05132433421185
4.55,46.16674068992724,0.8819927510365024,3.991479239617168,-6.610128843710993,0.0,47.04873344096374
4.551,46.17073153574428,0.8753556494180503,3.9902122123616297,-6.66399885137651,0.0,47.04608718516233
4.5520000000000005,46.17472111398589,0.8686649049799756,3.988944086897449,-6.717413922937035,0.0,47.04338601896586
4.553,46.17870942354831,0.8619209743332764,3.987674852162523,-6.770370713788287,0.0,47.040630397881586
4.554,46.1826964633168,0.8551243174179738,3.9864044972056827,-6.822865910523674,0.0,47.037820780734776
4.555,46.1866822321657,0.8482753974718104,3.9851330111873597,-6.8748962311407285,0.0,47.03495762963751
4.556,46.190666728958576,0.8413746809987439,3.9838603833802453,-6.926458425245398,0.0,47.03204140995732
4.557,46.194649952548325,0.8344226377372379,3.9825866031699424,-6.977549274254211,0.0,47.029072590285566
4.558,46.19863190177728,0.8274197406283503,3.9813116600556104,-7.028165591594274,0.0,47.02605164240563
4.559,46.20261257547734,0.8203664657836245,3.980035543650602,-7.078304222901106,0.0,47.02297904126096
4.5600000000000005,46.20659197247006,0.8132632924527822,3.9787582436830906,-7.1279620462142965,0.0,47.01985526492284
4.561,46.210570091566794,0.8061107029912229,3.977479749996694,-7.177135972170965,0.0,47.01668079455801
4.562,46.2145469315688,0.7989091828273306,3.976200052551085,-7.22582294419702,0.0,47.01345611439613
4.563,46.218522491267336,0.7916592204295898,3.9749191414226,-7.274019938696206,0.0,47.01018171169692
4.564,46.222496769443815,0.7843613072735147,3.9736370068048346,-7.321723965236916,0.0,47.00685807671733
4.565,46.22646976486989,0.7770159378083917,3.972353639009233,-7.368932066736771,0.0,47.00348570267828
4.566,46.23044147630758,0.769623609423839,3.971069028465673,-7.415641319644948,0.0,47.00006508573142
4.567,46.234411902509414,0.7621848224161845,3.9697831657230367,-7.4618488341222475,0.0,46.996596724925595
4.5680000000000005,46.23838104221851,0.7547000799546653,3.9684960414497783,-7.507551754218887,0.0,46.99308112217318
4.569,46.24234889416873,0.7471698880474505,3.967207646434482,-7.552747258050012,0.0,46.98951878221618
4.57,46.24631545708477,0.7395947555074894,3.965917971586411,-7.597432557968915,0.0,46.98591021259226
4.571,46.2502807296823,0.7319751939181874,3.9646270079360497,-7.641604900737949,0.0,46.98225592360049
4.572,46.25424471066809,0.7243117175989129,3.9633347466356383,-7.685261567697128,0.0,46.978556428267005
4.573,46.25820739874011,0.7166048435703358,3.962041178959697,-7.728399874930396,0.0,46.97481224231045
4.574,46.26216879258768,0.708855091519602,3.960746296305544,-7.771017173429572,0.0,46.97102388410728
4.575,46.266128890891565,0.701062983765344,3.9594500901938043,-7.813110849255938,0.0,46.96719187465691
4.5760000000000005,46.270087692324125,0.6932290452225319,3.958152552268911,-7.854678323699483,0.0,46.963316737546656
4.577,46.27404519554942,0.6853538033671659,3.9568536742995972,-7.895717053435776,0.0,46.95939899891658
4.578,46.278001399223335,0.6774377882008136,3.9555534481793813,-7.936224530680467,0.0,46.95543918742415
4.579,46.28195630199373,0.6694815322149931,3.954251865927041,-7.976198283341402,0.0,46.951437834208726
4.58,46.28590990250053,0.6614855703554063,3.9529489196870835,-8.015635875168353,0.0,46.94739547285593
4.581,46.28986219937586,0.653450439986023,3.9516446017302025,-8.05453490590034,0.0,46.943312639361885
4.582,46.29381319124421,0.6453766808530186,3.950338904453729,-8.092893011410544,0.0,46.93918987209723
4.583,46.2977628767225,0.6372648350485689,3.949031820382076,-8.130707863848802,0.0,46.93502771177107
4.5840000000000005,46.301711254420255,0.629115446974503,3.947723342167168,-8.167977171781676,0.0,46.93082670139476
4.585,46.305658322939706,0.6209290633058177,3.94641346258887,-8.204698680330086,0.0,46.92658738624552
4.586,46.30960408087594,0.6127062329540551,3.945102174555404,-8.240870171304497,0.0,46.922310313829996
4.587,46.31354852681701,0.6044475070305471,3.9437894711037536,-8.276489463337654,0.0,46.91799603384756
4.588,46.317491659344064,0.5961534388095268,3.9424753454000685,-8.311554412014862,0.0,46.913645098153594
4.589,46.32143347703149,0.5878245836911126,3.941159790740052,-8.346062910001793,0.0,46.9092580607226
4.59,46.32537397844703,0.5794614991641647,3.9398428005493447,-8.380012887169821,0.0,46.9048354776112
4.591,46.32931316215193,0.5710647447690178,3.938524368383898,-8.413402310718874,0.0,46.900377906920944
4.5920000000000005,46.333251026701035,0.5626348820600922,3.93720448793034,-8.446229185297799,0.0,46.89588590876113
4.593,46.33718757064296,0.5541724745683855,3.9358831530063303,-8.478491553122225,0.0,46.89136004521134
4.594,46.3411227925202,0.5456780877638483,3.9345603575609087,-8.510187494089926,0.0,46.88680088028405
4.595,46.345056690869264,0.537152289017645,3.9332360956748342,-8.541315125893675,0.0,46.88220897988691
4.596,46.348989264220805,0.5285956475643039,3.931910361560915,-8.571872604131581,0.0,46.87758491178511
4.597,46.352920511099754,0.5200087344637574,3.930583149564329,-8.6018581224149,0.0,46.87292924556351
4.598,46.35685043002546,0.511392122563276,3.9292544541629386,-8.63126991247332,0.0,46.86824255258874
4.599,46.36077901951181,0.5027463864592986,3.927924269967593,-8.660106244257708,0.0,46.86352540597111
4.6000000000000005,46.36470627806737,0.49407210245916044,3.9265925917224234,-8.688365426040324,0.0,46.85877838052654
4.601,46.36863220419553,0.4853698485427233,3.9252594143051294,-8.716045804512474,0.0,46.85400205273825
4.602,46.37255679639459,0.4766402043239083,3.923924732727256,-8.743145764879621,0.0,46.8491970007185
4.603,46.37648005315797,0.46788375101213536,3.922588542134463,-8.76966373095394,0.0,46.84436380417011
4.604,46.380401972974276,0.45910107137367123,3.921250837806783,-8.795598165244302,0.0,46.83950304434795
4.605,46.384322554327476,0.45029274969288896,3.9199116151588744,-8.820947569043696,0.0,46.83461530402037
4.606,46.388241795697006,0.441459371733441,3.918570869740261,-8.845710482514079,0.0,46.82970116743045
4.607,46.39215969555793,0.43260152469934915,3.917228597235566,-8.869885484768641,0.0,46.82476122025728
4.6080000000000005,46.39607625238106,0.4237197971960129,3.9158847934647354,-8.8934711939515,0.0,46.81979604957707
4.609,46.39999146463309,0.41481477919114,3.914539454383254,-8.9164662673148,0.0,46.81480624382423
4.61,46.40390533077675,0.405887061975601,3.9131925760823507,-8.938869401293225,0.0,46.80979239275235
4.611,46.40781784927092,0.39693723812421017,3.9118441547891947,-8.960679331575918,0.0,46.80475508739513
4.612,46.41172901857078,0.38796590145643667,3.9104941868670857,-8.981894833175796,0.0,46.79969492002722
4.613,46.41563883712794,0.3789736469970468,3.909142668815631,-9.002514720496274,0.0,46.79461248412499
4.614,46.41954730339058,0.3699610709366814,3.9077895972709173,-9.022537847395375,0.0,46.78950837432726
4.615,46.423454415803576,0.3609287705923703,3.9064349690056708,-9.041963107247234,0.0,46.78438318639595
4.616,46.427360172808655,0.3518773443679864,3.9050787809294096,-9.06078943300099,0.0,46.77923751717664
4.617,46.43126457284451,0.3428073917146425,3.9037210300885867,-9.079015797237062,0.0,46.774071964559155
4.618,46.435167614346966,0.33371951309103276,3.902361713666724,-9.096641212220815,0.0,46.768887127438
