file,part,shaper,tf_ms,cable_nom_mm,trial,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,move_dist_mm,rise_time_s
Bridge_100_-100_2000_v2.csv,A,Unshaped,2000.0,800.0,2.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.989,200.0,[1.0],387.0,2.041
Bridge_100_-100_2000_v4.csv,A,Unshaped,2000.0,800.0,4.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.913,200.0,[1.0],383.0,1.938
Bridge_ZV_.5_.5_.9_1100_v1.csv,A,ZV,1100.0,800.0,1.0,unshaped,[0.5],[0.0],0.5,[-0.5],True,1.964,200.0,[0.5],211.0,1.837
Bridge_ZV_.5_.5_.9_1100_v3.csv,A,ZV,1100.0,800.0,3.0,unshaped,[0.5],[0.0],0.5,[-0.5],True,1.964,200.0,[0.5],211.0,1.938
Bridge_ZV_.5_.5_.9_1600_v2.csv,A,ZV,1600.0,800.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.868]",1.0,"[-0.5, -0.5]",True,1.581,200.0,"[0.5, 1.0, 0.5]",316.0,2.5
Bridge_ZV_.5_.5_.9_1600_v3.csv,A,ZV,1600.0,800.0,3.0,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,"[-0.5, -0.5]",True,1.581,200.0,"[0.5, 1.0, 0.5]",310.0,2.398
Bridge_ZV_.5_.5_.9_1600_v4.csv,A,ZV,1600.0,800.0,4.0,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,"[-0.5, -0.5]",True,1.581,200.0,"[0.5, 1.0, 0.5]",316.0,2.499
Bridge_ZV_.5_.5_.9_1800_v1.csv,A,ZV,1800.0,800.0,1.0,ZV,"[0.5, 0.5]","[0.0, 0.867]",1.0,"[-0.5, -0.5]",True,1.785,200.0,"[0.5, 1.0, 0.5]",351.0,2.602
Bridge_ZV_.5_.5_.9_1800_v2.csv,A,ZV,1800.0,800.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,"[-0.5, -0.5]",True,1.734,200.0,"[0.5, 1.0, 0.5]",352.0,2.601
Bridge_ZV_.5_.5_.9_2000_v1.csv,A,ZV,2000.0,800.0,1.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.964,200.0,"[0.5, 1.0, 0.5]",392.0,2.857
Bridge_ZV_.5_.5_.9_2000_v2.csv,A,ZV,2000.0,800.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,"[-0.5, -0.5]",True,1.938,200.0,"[0.5, 1.0, 0.5]",391.0,2.805
Bridge_ZV_.5_.5_.9_2000_v3.csv,A,ZV,2000.0,800.0,3.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.964,200.0,"[0.5, 1.0, 0.5]",394.0,2.806
Bridge_b_1200_100_1500_v1.csv,B,Unshaped,1500.0,1200.0,1.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.428,200.0,[1.0],287.0,1.479
Bridge_b_1200_100_1500_v2.csv,B,Unshaped,1500.0,1200.0,2.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.428,200.0,[1.0],289.0,1.53
Bridge_b_1200_100_1500_v3.csv,B,Unshaped,1500.0,1200.0,3.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.479,200.0,[1.0],286.0,1.53
