w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
15.457048,2.460066,0.041046,1.0,1.0,1.0,0.782275,0.782275,0.782275,1.0,0.731845,0.606984,0.535597,0.512377,0.978286,1.084561,0.892271,0.48261,0.731845,0.535597,0.485587,0.978286,0.48261
15.469975,2.462123,0.040977,1.0,1.0,1.0,0.778638,0.778638,0.778638,1.0,0.727824,0.599048,0.529727,0.506214,0.977146,1.079565,0.888923,0.483531,0.727824,0.529727,0.479238,0.977146,0.483531
15.482902,2.46418,0.040909,1.0,1.0,1.0,0.774975,0.774975,0.774975,1.0,0.723777,0.591117,0.523854,0.500047,0.975977,1.0745,0.885527,0.484432,0.723777,0.523854,0.472893,0.975977,0.484432
15.49583,2.466238,0.04084,1.0,1.0,1.0,0.771285,0.771285,0.771285,1.0,0.719706,0.583191,0.517977,0.493876,0.97478,1.069368,0.882085,0.485313,0.719706,0.517977,0.466553,0.97478,0.485313
15.508757,2.468295,0.040772,1.0,1.0,1.0,0.76757,0.76757,0.76757,1.0,0.71561,0.575273,0.512098,0.487703,0.973554,1.064169,0.878595,0.486176,0.71561,0.512098,0.460219,0.973554,0.486176
15.521685,2.470353,0.040705,1.0,1.0,1.0,0.763828,0.763828,0.763828,1.0,0.711489,0.567364,0.506217,0.481528,0.972299,1.058903,0.87506,0.487019,0.711489,0.506217,0.453892,0.972299,0.487019
15.534612,2.47241,0.040637,1.0,1.0,1.0,0.76006,0.76006,0.76006,1.0,0.707344,0.559466,0.500335,0.475352,0.971016,1.053572,0.871479,0.487842,0.707344,0.500335,0.447573,0.971016,0.487842
15.54754,2.474468,0.040569,1.0,1.0,1.0,0.756267,0.756267,0.756267,1.0,0.703174,0.551581,0.494453,0.469176,0.969704,1.048175,0.867852,0.488645,0.703174,0.494453,0.441264,0.969704,0.488645
15.560467,2.476525,0.040502,1.0,1.0,1.0,0.752448,0.752448,0.752448,1.0,0.698979,0.543709,0.488572,0.463001,0.968363,1.042714,0.86418,0.489428,0.698979,0.488572,0.434967,0.968363,0.489428
15.573394,2.478583,0.040435,1.0,1.0,1.0,0.748604,0.748604,0.748604,1.0,0.694761,0.535852,0.482692,0.456827,0.966994,1.037189,0.860465,0.490192,0.694761,0.482692,0.428682,0.966994,0.490192
