part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,file,condition,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,tf_inferred_s,move_dist_mm,move_dur_s,rise_time_s,peak_vel_mm_s,amp_pp_mm,amp_pp_first,amp_pp_mean,amp_pp_max,rms,pred_amp_pp_mm,pred_over_meas,resid_window_s,cycles_available,n_cycles,T_meas_s,T_theory_s,T_err_pct,freq_fft_hz,zeta,move_t0,move_t1,good_for_plots,quality_notes
A,ZV,1600.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_1600_v2.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.868]",1.0,1.581,316.0,2.5,2.5,200.0,35.0,35.0,33.4286,35.0,11.8182,8.1,0.2314,8.36,5.0,4.0,1.8019,1.7935,0.4673,0.5553,0.007,105.125,107.624,True,
A,ZV,1600.0,800.0,799.0,3.0,Bridge_ZV_.5_.5_.9_1600_v3.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.581,310.0,2.398,2.398,200.0,32.0,32.0,30.5714,32.0,10.7973,17.0,0.5312,11.99,6.5,4.0,1.7606,1.7935,-1.8334,0.5553,0.0051,4.081,6.479,True,
A,ZV,1600.0,800.0,799.0,4.0,Bridge_ZV_.5_.5_.9_1600_v4.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.581,316.0,2.499,2.499,200.0,24.0,24.0,22.8,24.0,8.4968,13.7,0.5708,5.0,3.0,3.0,1.7654,1.7935,-1.5646,0.5754,0.0102,3.775,6.274,True,
A,ZV,1800.0,800.0,799.0,1.0,Bridge_ZV_.5_.5_.9_1800_v1.csv,ZV | tf=1800 ms,ZV,"[0.5, 0.5]","[0.0, 0.867]",1.0,1.785,351.0,2.602,2.602,200.0,20.0,20.0,20.0,20.0,6.8665,3.4,0.17,1.78,1.0,1.0,1.6344,1.7935,-8.8694,0.6122,,3.877,6.478,False,"only 1.0 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; measured period is -9 % off the pendulum value (small-amplitude quantisation, or wrong cable tag)"
A,ZV,1800.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_1800_v2.csv,ZV | tf=1800 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.734,352.0,2.652,2.601,200.0,16.0,16.0,13.5714,16.0,5.0409,16.7,1.0438,7.96,4.5,4.0,1.7543,1.7935,-2.1878,0.5548,0.0088,1.629,4.281,True,
A,ZV,2000.0,800.0,799.0,1.0,Bridge_ZV_.5_.5_.9_2000_v1.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.964,392.0,2.857,2.857,200.0,9.0,9.0,8.1429,9.0,3.0529,8.2,0.9111,7.55,4.5,4.0,1.6741,1.7935,-6.6585,0.5558,0.0065,1.884,4.741,True,
A,ZV,2000.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_2000_v2.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.938,391.0,2.805,2.805,200.0,12.0,12.0,9.6,12.0,3.928,6.6,0.55,4.69,3.0,3.0,1.6842,1.7935,-6.0954,0.5753,0.0502,2.602,5.407,True,
A,ZV,2000.0,800.0,799.0,3.0,Bridge_ZV_.5_.5_.9_2000_v3.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.964,394.0,2.857,2.806,200.0,16.0,14.0,15.5714,16.0,5.5471,4.3,0.2688,7.55,4.5,4.0,1.7669,1.7935,-1.4852,0.5553,0.0,1.016,3.873,True,
B,Unshaped,1500.0,600.0,601.0,2.0,Bridge_b_600_100_1500_v2.csv,Unshaped | L=0.6 m,unshaped,[1.0],[0.0],1.0,1.428,287.0,1.581,1.581,200.0,90.0,90.0,86.0,90.0,31.8026,37.7,0.4189,4.9,3.0,3.0,1.5627,1.5555,0.4638,0.6496,0.0121,5.865,7.447,True,
B,Unshaped,1500.0,900.0,901.0,1.0,Bridge_b_900_100_1500_v1.csv,Unshaped | L=0.9 m,unshaped,[1.0],[0.0],1.0,1.403,288.0,1.582,1.582,200.0,193.0,193.0,185.2857,193.0,65.4029,164.9,0.8544,7.8,4.0,4.0,1.9254,1.9045,1.0988,0.515,0.0029,2.295,3.877,True,
