file,move_index,direction,cable_infile_mm,move_t0,move_t1,move_dur_s,move_dist_mm,peak_vel_mm_s,rise_time_s,resid_window_s,cycles_available,pred_amp_pp_mm,applied_amps,applied_delays_s,applied_amp_sum,applied_pattern,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,t0,t1,window_s,n_extrema,n_cycles,amp_pp_mean,amp_pp_first,amp_pp_max,amp_single_mean,rms,period_zc,freq_zc_hz,freq_fft_hz,freq_fft2_hz,zeta,offset,amp_pp_mean_full,rms_full,part,shaper,tf_ms,cable_nom_mm,trial
Bride_ZV_.5_.5_.91_1200_v2.csv,0,outbound,1200.0,1.734,4.081,2.347,295.0,200.0,2.295,6.83,3.0,70.1,"[0.5, 0.5]","[0.0, 0.893]",1.0,ZV,"[-0.5, -0.5]",True,1.479,200.0,"[0.5, 1.0, 0.5]",4.080869,10.91557,6.834701000000001,6,3.0,80.8,87.0,87.0,40.4,28.490086755686086,2.2199506846330284,0.4504604570372725,0.45894240089292265,0.30596160059528177,0.007408247904162078,4.944954128440366,80.8,28.490086755686086,B,ZV,1500.0,1200.0,2.0
Bride_ZV_.5_.5_.91_1200_v2.csv,1,return,1200.0,11.171,13.568,2.398,-295.0,200.0,2.347,8.01,4.0,66.1,"[0.5, 0.5]","[0.0, 0.841]",1.0,ZV,"[-0.5, -0.5]",True,1.428,200.0,"[0.5, 1.0, 0.5]",13.5684,21.57631,8.007909999999999,8,4.0,68.85714285714286,9.000000000000004,81.0,34.42857142857143,28.0551672596013,2.219528034188034,0.45054623532422655,0.45897385684910263,0.3059825712327351,0.0,7.7521367521367495,68.85714285714286,28.0551672596013,B,ZV,1500.0,1200.0,2.0
Bride_ZV_.5_.5_.91_1200_v3.csv,0,outbound,1200.0,1.374,3.772,2.397,296.0,200.0,2.295,6.38,3.0,75.0,"[0.5, 0.5]","[0.0, 0.79]",1.0,ZV,"[-0.5, -0.5]",True,1.377,200.0,"[0.5, 1.0, 0.5]",3.771723,10.14781,6.376087,6,3.0,88.6,92.0,92.0,44.3,30.85545648703149,2.2135385834951453,0.4517653351318659,0.4588480588891748,0.3058987059261165,0.005487473475919318,7.1359223300970855,88.6,30.85545648703149,B,ZV,1500.0,1200.0,3.0
Bride_ZV_.5_.5_.91_1200_v3.csv,1,return,1200.0,10.454,12.851,2.397,-296.0,200.0,2.346,11.99,5.5,71.5,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.403,200.0,"[0.5, 1.0, 0.5]",12.85117,21.57331,8.72214,8,4.0,17.428571428571427,14.0,18.0,8.714285714285714,6.334193656444659,2.1886013411458336,0.45691281513903026,0.4589289210887082,0.3059526140591388,0.0,6.784090909090907,17.2,6.233065901880878,B,ZV,1500.0,1200.0,3.0
Bride_ZV_.5_.5_.91_600_v1.csv,0,outbound,603.0,1.221,3.465,2.244,289.0,200.0,2.244,8.31,6.0,13.6,"[0.5, 0.5]","[0.0, 0.867]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",3.465386,9.127188,5.661802,9,4.5,18.125,13.0,21.0,9.0625,6.865776641348661,1.3800293935185184,0.7246222469583806,0.6500792943779357,0.4971194604066567,0.0,8.358208955223878,18.0,6.790470699041906,B,ZV,1500.0,600.0,1.0
Bride_ZV_.5_.5_.91_600_v1.csv,1,return,603.0,12.034,14.279,2.245,-288.0,200.0,2.245,7.45,5.5,19.9,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.429,200.0,"[0.5, 1.0, 0.5]",14.27905,20.39997,6.12092,9,4.5,13.5,11.0,15.0,6.75,5.027439500281837,1.5528906410256411,0.64396034954498,0.6485618712764933,0.8011646645180212,0.0,9.539682539682538,13.6,4.891928554116875,B,ZV,1500.0,600.0,1.0
Bride_ZV_.5_.5_.91_600_v2.csv,0,outbound,603.0,0.97,3.367,2.397,297.0,200.0,2.397,8.52,5.5,12.4,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",3.366558,9.487823,6.121265000000001,8,4.0,16.714285714285715,13.0,19.0,8.357142857142858,6.104246257811789,1.5343515254901963,0.6517411319290206,0.6498693533234177,0.802779789399516,0.0,8.126760563380277,16.5,5.943228073074901,B,ZV,1500.0,600.0,2.0
Bride_ZV_.5_.5_.91_600_v2.csv,1,return,603.0,12.14,14.282,2.142,-278.0,200.0,2.142,9.23,6.5,21.9,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.428,200.0,"[0.5, 1.0, 0.5]",14.28241,20.40373,6.121319999999999,9,4.5,23.375,21.0,25.0,11.6875,8.516078909920926,1.5398610333333338,0.6494092508044718,0.6498311967902911,0.4969297387219873,0.0,9.18666666666667,22.75,8.211688146917309,B,ZV,1500.0,600.0,2.0
Bride_ZV_.5_.5_.91_600_v3.csv,0,outbound,603.0,3.465,5.761,2.296,288.0,200.0,2.296,10.66,7.5,21.9,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.505,200.0,"[0.5, 1.0, 0.5]",5.761262,11.88125,6.119987999999999,9,4.5,35.5,10.0,42.0,17.75,13.619478553837197,1.5533324848484849,0.6437771756878837,0.6495102234437446,0.4966842885158047,0.0,8.752808988764045,34.5,12.801229662560822,B,ZV,1500.0,600.0,3.0
Bride_ZV_.5_.5_.91_600_v3.csv,1,return,603.0,16.677,19.074,2.397,-297.0,200.0,2.397,11.99,8.0,11.7,"[0.5, 0.5]","[0.0, 0.867]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",19.07388,25.19472,6.120840000000001,8,4.0,50.857142857142854,51.0,56.0,25.428571428571427,18.11238358311515,1.5555111178146472,0.6428755079583808,0.6494498777506129,0.4966381418092922,0.002912953404916154,9.232323232323234,46.333333333333336,16.536967026664094,B,ZV,1500.0,600.0,3.0
